id1,affil1,affil_tokens,affil_tokens_labeled
1854,"Basic Research Unit, Helsinki Institute for Information Technology, Department of Computer Science, University of Helsinki, Finland",Basic Research Unit; Helsinki Institute for Information Technology; Department of Computer Science; University of Helsinki; Finland,Basic Research Unit<ORG>; Helsinki Institute for Information Technology<ORG>; Department of Computer Science<ORG>; University of Helsinki<ORG>; Finland<GPE>
1140,"Bayerisches Forschungszentrum für Wissensbasierte Systeme, Orleansstrá, München, Germany",Bayerisches Forschungszentrum für Wissensbasierte Systeme; Orleansstrá; München; Germany,Bayerisches Forschungszentrum für Wissensbasierte Systeme<ORG>; Orleansstrá<GPE>; München<GPE>; Germany<GPE>
3653,BEA Systems,BEA Systems,BEA Systems<ORG>
6321,"BEA Systems Inc, San Jose, CA, USA",BEA Systems Inc; San Jose; CA; USA,BEA Systems Inc<ORG>; San Jose<GPE>; CA<GPE>; USA<GPE>
2587,"BEA Systems, Inc, San Jose","BEA Systems, Inc; San Jose","BEA Systems, Inc<ORG>; San Jose<GPE>"
2465,"BEA Systems, Inc.","BEA Systems, Inc.","BEA Systems, Inc.<ORG>"
1224,"BEA Systems, Inc.,","BEA Systems, Inc.","BEA Systems, Inc.<ORG>"
4616,"BEA Systems, Inc., Burlington, MA","BEA Systems, Inc.; Burlington; MA","BEA Systems, Inc.<ORG>; Burlington<GPE>; MA<GPE>"
5337,"BEA Systems, Inc., San Francisco, CA","BEA Systems, Inc.; San Francisco; CA","BEA Systems, Inc.<ORG>; San Francisco<GPE>; CA<GPE>"
799,"BEA Systems, Inc., San Jose, CA","BEA Systems, Inc.; San Jose; CA","BEA Systems, Inc.<ORG>; San Jose<GPE>; CA<GPE>"
804,"BEA Systems, Inc., San Jose, CA and Computer Science Department at the University of California, San Diego","BEA Systems, Inc.; San Jose; CA; Computer Science Department; the University of California, San Diego","BEA Systems, Inc.<ORG>; San Jose<GPE>; CA<GPE>; Computer Science Department<ORG>; the University of California, San Diego<ORG>"
4627,"BEA Systems, Liberty Corner, NJ",BEA Systems; Liberty Corner; NJ,BEA Systems<ORG>; Liberty Corner<GPE>; NJ<GPE>
9233,"BEA Systems, Redwood Shores, CA",BEA Systems; Redwood Shores; CA,BEA Systems<ORG>; Redwood Shores<GPE>; CA<GPE>
4629,"BEA Systems, San Francisco, CA",BEA Systems; San Francisco; CA,BEA Systems<ORG>; San Francisco<GPE>; CA<GPE>
1583,"BEA Systems, San Jose, CA",BEA Systems; San Jose; CA,BEA Systems<ORG>; San Jose<GPE>; CA<GPE>
1585,"BEA Systems, San Jose, CA and Technical University of Munich, Munich, Germany",BEA Systems; San Jose; CA; Technical University of Munich; Munich; Germany,BEA Systems<ORG>; San Jose<GPE>; CA<GPE>; Technical University of Munich<ORG>; Munich<GPE>; Germany<GPE>
8070,"BEA Systems, USA",BEA Systems; USA,BEA Systems<ORG>; USA<GPE>
4236,"BEA Systems. Inc., San Francisco, CA",BEA Systems. Inc.; San Francisco; CA,BEA Systems. Inc.<ORG>; San Francisco<GPE>; CA<GPE>
3,Bell Laboratories,Bell Laboratories,Bell Laboratories<ORG>
100,Bell Laboratories (India),Bell Laboratories; India,Bell Laboratories<ORG>; India<GPE>
6511,"Bell Laboratories, 600 Mountain Avenue, Murray Hill, NJ",Bell Laboratories; Murray Hill; NJ,Bell Laboratories<ORG>; Murray Hill<GPE>; NJ<GPE>
7861,"Bell Laboratories, 600 Mountain Avenue, Murray Hill, NJ 07974, USA; e-mail: {minos,rastogi}@bell-labs.com",Bell Laboratories; Murray Hill; NJ; 07974; USA,Bell Laboratories<ORG>; Murray Hill<GPE>; NJ<GPE>; 07974<CARDINAL>; USA<GPE>
5671,"Bell Laboratories, Alcatel-Lucent, Lisle, IL, USA",Bell Laboratories; Alcatel-Lucent; Lisle; IL; USA,Bell Laboratories<ORG>; Alcatel-Lucent<ORG>; Lisle<GPE>; IL<GPE>; USA<GPE>
22,"Bell Laboratories, Lucent Technologies",Bell Laboratories; Lucent Technologies,Bell Laboratories<ORG>; Lucent Technologies<ORG>
7913,"Bell Laboratories, Lucent Technologies, 600 Mountain Ave., NJ 07974, Murray Hill, USA",Bell Laboratories; Lucent Technologies; Mountain Ave; NJ; 07974; Murray Hill; USA,Bell Laboratories<ORG>; Lucent Technologies<ORG>; Mountain Ave<FAC>; NJ<GPE>; 07974<CARDINAL>; Murray Hill<GPE>; USA<GPE>
7717,"Bell Laboratories, Lucent Technologies, 600 Mountain Ave., NJ 07974, USA; {cychan, pascal, minos, rastogi}@research.bell-labs.com",Lucent Technologies; NJ; USA; cychan; pascal,Lucent Technologies<ORG>; NJ<GPE>; USA<GPE>; cychan<PERSON>; pascal<PERSON>
7320,"Bell Laboratories, Lucent Technologies, Murray Hill, NJ",Bell Laboratories; Lucent Technologies; Murray Hill; NJ,Bell Laboratories<ORG>; Lucent Technologies<ORG>; Murray Hill<GPE>; NJ<GPE>
8098,"Bell Laboratories, Lucent Technologies, USA",Bell Laboratories; Lucent Technologies; USA,Bell Laboratories<ORG>; Lucent Technologies<ORG>; USA<GPE>
6586,"Bell Laboratories, Murray Hill, NJ",Bell Laboratories; Murray Hill; NJ,Bell Laboratories<ORG>; Murray Hill<GPE>; NJ<GPE>
455,Bell Labs,Bell Labs,Bell Labs<ORG>
4330,Bell Labs Research,Bell Labs,Bell Labs<ORG>
5591,"Bell Labs Research India, India",Bell Labs; India,Bell Labs<ORG>; India<GPE>
5655,"Bell Labs Research, Bangalore, India",Bell Labs Research; Bangalore; India,Bell Labs Research<ORG>; Bangalore<GPE>; India<GPE>
2246,"Bell Labs, Alcatel-Lucent",Bell Labs; Alcatel-Lucent,Bell Labs<ORG>; Alcatel-Lucent<ORG>
7007,"Bell Labs, Lucent",Bell Labs; Lucent,Bell Labs<ORG>; Lucent<ORG>
1,"Bell Labs, Lucent Technologies",Bell Labs; Lucent Technologies,Bell Labs<ORG>; Lucent Technologies<ORG>
7120,"Bell Labs, Lucent Technologies Murray Hill, NJ",Bell Labs; Lucent Technologies; Murray Hill; NJ,Bell Labs<ORG>; Lucent Technologies<ORG>; Murray Hill<GPE>; NJ<GPE>
7999,"Bell Labs, Lucent Technologies, Murray Hill, New Jersey",Bell Labs; Lucent Technologies; Murray Hill; New Jersey,Bell Labs<ORG>; Lucent Technologies<ORG>; Murray Hill<GPE>; New Jersey<GPE>
8206,"Bell Labs, Lucent Technologies, Murray Hill, NJ",Bell Labs; Lucent Technologies; Murray Hill; NJ,Bell Labs<ORG>; Lucent Technologies<ORG>; Murray Hill<GPE>; NJ<GPE>
6487,"Bell Labs, Murray Hill, NJ",Bell Labs; Murray Hill; NJ,Bell Labs<ORG>; Murray Hill<GPE>; NJ<GPE>
6538,Bell Labs.,Bell Labs,Bell Labs<ORG>
543,Berkeley,Berkeley,Berkeley<GPE>
4052,Berufsakademie Stuttgart/IBM Germany,Berufsakademie Stuttgart; IBM; Germany,Berufsakademie Stuttgart<ORG>; IBM<ORG>; Germany<GPE>
8106,"Bilkent University, Ankara, Turkey",Bilkent University; Ankara; Turkey,Bilkent University<ORG>; Ankara<GPE>; Turkey<GPE>
8108,"Bilkent University, Bursa, Turkey",Bilkent University; Bursa; Turkey,Bilkent University<ORG>; Bursa<GPE>; Turkey<GPE>
321,"Biological Data Management and Technology Center, Berkeley, CA",Biological Data Management and Technology Center; Berkeley; CA,Biological Data Management and Technology Center<ORG>; Berkeley<GPE>; CA<GPE>
4246,Boeing Phantom Works,Boeing,Boeing<ORG>
257,Boston University,Boston University,Boston University<ORG>
2331,"Boston University, Boston, MA",Boston University; Boston; MA,Boston University<ORG>; Boston<GPE>; MA<GPE>
5642,"Boston University, Boston, MA, USA",Boston University; Boston; MA; USA,Boston University<ORG>; Boston<GPE>; MA<GPE>; USA<GPE>
9373,"Boston University, Boston, USA",Boston University; Boston; USA,Boston University<ORG>; Boston<GPE>; USA<GPE>
9383,"Boston University, Boston, USA 02215",Boston University; Boston; USA; 02215,Boston University<ORG>; Boston<GPE>; USA<GPE>; 02215<CARDINAL>
1009,Brandeis University,Brandeis University,Brandeis University<ORG>
155,"Brandeis University, Waltham, MA",Brandeis University; Waltham; MA,Brandeis University<ORG>; Waltham<GPE>; MA<GPE>
5706,"Brandeis University, Waltham, MA, USA",Brandeis University; Waltham; MA; USA,Brandeis University<ORG>; Waltham<GPE>; MA<GPE>; USA<GPE>
9625,Brown U,Brown U,Brown U<ORG>
736,Brown University,Brown University,Brown University<ORG>
164,"Brown University, Providence, RI",Brown University; Providence; RI,Brown University<ORG>; Providence<GPE>; RI<GPE>
5999,"Brown University, Providence, RI, USA",Brown University; Providence; RI; USA,Brown University<ORG>; Providence<GPE>; RI<GPE>; USA<GPE>
4644,"Brown University, Providence, RI.",Brown University; Providence; RI,Brown University<ORG>; Providence<GPE>; RI<GPE>
9063,C.M.U.,C. M. U,C. M. U<ORG>
1098,"C&C Research Laboratories - Silicon Valley, NEC USA, INC., Cupertino, California","C&C Research Laboratories; Silicon Valley; NEC USA, INC; Cupertino; California","C&C Research Laboratories<ORG>; Silicon Valley<LOC>; NEC USA, INC<ORG>; Cupertino<GPE>; California<GPE>"
1244,"C&C Research Laboratories - Silicon Valley, NEC USA, Inc., Suite, Cupertino, California","C&C Research Laboratories; Silicon Valley; NEC USA, Inc.; Suite; Cupertino; California","C&C Research Laboratories<ORG>; Silicon Valley<LOC>; NEC USA, Inc.<ORG>; Suite<FAC>; Cupertino<GPE>; California<GPE>"
7777,"C&C Research Laboratories, NEC USA, 110 Rio Robles, M/S SJ100, San Jose, CA 95134, USA; E-mail: {wen,candan,hirata,hara}@ccrl.sj.nec.com",C&C Research Laboratories; NEC USA; San Jose; CA; 95134; USA,C&C Research Laboratories<ORG>; NEC USA<ORG>; San Jose<GPE>; CA<GPE>; 95134<DATE>; USA<GPE>
6883,"C&C Research Laboratories, NEC, Inc., 110 Rio Robles, San Jose, CA","C&C Research Laboratories; NEC, Inc.; 110; San Jose; CA","C&C Research Laboratories<ORG>; NEC, Inc.<ORG>; 110<CARDINAL>; San Jose<GPE>; CA<GPE>"
233,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University<ORG>
9792,"Carnegie Mellon University, 5000 Forbes Ave., Pittsburgh, PA 15213, USA",Carnegie Mellon University; Pittsburgh; PA; 15213; USA,Carnegie Mellon University<ORG>; Pittsburgh<GPE>; PA<GPE>; 15213<CARDINAL>; USA<GPE>
9040,"Carnegie Mellon University, Akamai Technologies",Carnegie Mellon University; Akamai Technologies,Carnegie Mellon University<ORG>; Akamai Technologies<ORG>
9039,"Carnegie Mellon University, EPFL",Carnegie Mellon University; EPFL,Carnegie Mellon University<ORG>; EPFL<ORG>
9041,"Carnegie Mellon University, Intel Research Pittsburgh",Carnegie Mellon University; Intel Research Pittsburgh,Carnegie Mellon University<ORG>; Intel Research Pittsburgh<ORG>
4139,"Carnegie Mellon University, Pittsburgh",Carnegie Mellon University; Pittsburgh,Carnegie Mellon University<ORG>; Pittsburgh<GPE>
18,"Carnegie Mellon University, Pittsburgh, PA",Carnegie Mellon University; Pittsburgh; PA,Carnegie Mellon University<ORG>; Pittsburgh<GPE>; PA<GPE>
5598,"Carnegie Mellon University, Pittsburgh, PA, USA",Carnegie Mellon University; Pittsburgh; PA; USA,Carnegie Mellon University<ORG>; Pittsburgh<GPE>; PA<GPE>; USA<GPE>
896,"Carnegie Mellon University, Pittsburgh, Pennsylvania",Carnegie Mellon University; Pittsburgh; Pennsylvania,Carnegie Mellon University<ORG>; Pittsburgh<GPE>; Pennsylvania<GPE>
8064,"Carnegie Mellon University, USA",Carnegie Mellon University; USA,Carnegie Mellon University<ORG>; USA<GPE>
32,"Case Western Reserve University, Cleveland, OH",Case Western Reserve University; Cleveland; OH,Case Western Reserve University<ORG>; Cleveland<GPE>; OH<GPE>
1651,Cedric-CNAM,Cedric-CNAM,Cedric-CNAM<ORG>
2691,"CEDRIC-CNAM Paris, France",CEDRIC-CNAM; Paris; France,CEDRIC-CNAM<ORG>; Paris<GPE>; France<GPE>
9413,"Cedric, CNAM, Paris, France",Cedric; CNAM; Paris; France,Cedric<ORG>; CNAM<ORG>; Paris<GPE>; France<GPE>
7680,"Cedric/CNAM Paris, France; e-mail: vodislav&commat;cnam.fr",Paris; France,Paris<GPE>; France<GPE>
1416,"Center for Adv. Compu. Studies, Univ. of Louisiana at Lafayette, Lafayette, LA",Center for Adv. Compu. Studies; Univ. of Louisiana at Lafayette; Lafayette; LA,Center for Adv. Compu. Studies<ORG>; Univ. of Louisiana at Lafayette<ORG>; Lafayette<GPE>; LA<GPE>
8057,"Center for Advanced Computer Studies, University of Illinois at Chicago, USA",Center for Advanced Computer Studies; University of Illinois at Chicago; USA,Center for Advanced Computer Studies<ORG>; University of Illinois at Chicago<ORG>; USA<GPE>
9428,"Center for Comprehensive Informatics, Emory University, Atlanta, USA 30322",Center for Comprehensive Informatics; Emory University; Atlanta; USA; 30322,Center for Comprehensive Informatics<ORG>; Emory University<ORG>; Atlanta<GPE>; USA<GPE>; 30322<CARDINAL>
883,"Center for Research in Biological System, University of California, San Diego, CA",Center for Research in Biological System; University of California; San Diego; CA,Center for Research in Biological System<ORG>; University of California<ORG>; San Diego<GPE>; CA<GPE>
2224,"Centrum voor Wiskunde en Informatica, Amsterdam, the Netherlands",Wiskunde en Informatica; Amsterdam; Netherlands,Wiskunde en Informatica<ORG>; Amsterdam<GPE>; Netherlands<GPE>
7082,"Centrum voor Wiskunde en Informatica, Kruislaan 413, 1098 SJ, Amsterdam, The Netherlands",Wiskunde en Informatica; Kruislaan; Amsterdam; The Netherlands,Wiskunde en Informatica<ORG>; Kruislaan<GPE>; Amsterdam<GPE>; The Netherlands<GPE>
2408,"Centrum voor Wiskunde en Informatica, SJ Amsterdam, The Netherlands",Wiskunde en Informatica; Amsterdam; The Netherlands,Wiskunde en Informatica<ORG>; Amsterdam<GPE>; The Netherlands<GPE>
6118,"Centrum Wiskunde en Informatica, Amsterdam, Netherlands",Centrum Wiskunde en Informatica; Amsterdam; Netherlands,Centrum Wiskunde en Informatica<ORG>; Amsterdam<GPE>; Netherlands<GPE>
2095,"CERIA Lab., Université Paris Dauphine, France",CERIA Lab; Université Paris Dauphine; France,CERIA Lab<ORG>; Université Paris Dauphine<ORG>; France<GPE>
8769,"CERIAS and Department of Computer Science, Purdue University, West Lafayette, USA",Department of Computer Science; Purdue University; West Lafayette; USA,Department of Computer Science<ORG>; Purdue University<ORG>; West Lafayette<GPE>; USA<GPE>
7156,CERN,CERN,CERN<ORG>
1027,"CES Dept., UC Riverside",CES Dept; UC Riverside,CES Dept<ORG>; UC Riverside<ORG>
9001,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences<ORG>
2583,"Chinese Academy of Sciences, Beijing, China",Chinese Academy of Sciences; Beijing; China,Chinese Academy of Sciences<ORG>; Beijing<GPE>; China<GPE>
9641,"Chinese Academy of Sciences, China",Chinese Academy of Sciences; China,Chinese Academy of Sciences<ORG>; China<GPE>
3308,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong<ORG>
8992,"Chinese university of Hong Kong, Hong Kong, China",Chinese; Hong Kong; China,Chinese<NORP>; Hong Kong<GPE>; China<GPE>
5280,"Chinese University of Hong Kong, Hong Kong, Hong Kong",Chinese University of Hong Kong; Hong Kong,Chinese University of Hong Kong<ORG>; Hong Kong<GPE>
3223,"Chinese University of Hong Kong, New Territories, Hong Kong",Chinese University of Hong Kong; New Territories; Hong Kong,Chinese University of Hong Kong<ORG>; New Territories<GPE>; Hong Kong<GPE>
9136,"Chinese University of Hong Kong, Sha Tin, New Territories, Hong Kong",Chinese University of Hong Kong; Sha Tin; New Territories; Hong Kong,Chinese University of Hong Kong<ORG>; Sha Tin<GPE>; New Territories<GPE>; Hong Kong<GPE>
3905,Chutney Technologies,Chutney Technologies,Chutney Technologies<ORG>
8037,"Chutney Technologies, Atlanta, GA",Chutney Technologies; Atlanta; GA,Chutney Technologies<ORG>; Atlanta<GPE>; GA<GPE>
6972,"Chutney Technologies, Inc., Atlanta, GA","Chutney Technologies, Inc.; Atlanta; GA","Chutney Technologies, Inc.<ORG>; Atlanta<GPE>; GA<GPE>"
7795,"CIMIC and MSIS Department, Rutgers University, 180 University Avenue, Newark NJ 07102, USA e-mail: adam@adam.rutgers.edu; atluri@andromeda.rutgers.edu",CIMIC and MSIS Department; Rutgers University; Newark; NJ; 07102; USA,CIMIC and MSIS Department<ORG>; Rutgers University<ORG>; Newark<GPE>; NJ<GPE>; 07102<CARDINAL>; USA<GPE>
1348,"CIS Department, Polytechnic University, Brooklyn, NY",CIS Department; Polytechnic University; Brooklyn; NY,CIS Department<ORG>; Polytechnic University<ORG>; Brooklyn<GPE>; NY<GPE>
763,"CISE Department, University of Florida, Gainesville, FL",CISE Department; University of Florida; Gainesville; FL,CISE Department<ORG>; University of Florida<ORG>; Gainesville<GPE>; FL<GPE>
4814,City University of Hong Kong,City University of Hong Kong,City University of Hong Kong<ORG>
75,"City University of Hong Kong, Hong Kong",City University of Hong Kong; Hong Kong,City University of Hong Kong<ORG>; Hong Kong<GPE>
